,acousticness,artist,class,danceability,energy,instrumentalness,key,loudness,mode,playlist_id,speechiness,tempo,title,valence,category,tf_idf_wonder,tf_idf_transcendence,tf_idf_nostalgia,tf_idf_tenderness,tf_idf_peacefullness,tf_idf_power,tf_idf_joyful,tf_idf_tension,tf_idf_sadness
80,0.0123,AIKA,happy,0.654,0.9420000000000001,0.32799999999999996,3,-2.917,1,37i9dQZF1DWSf2RDTDayIx,0.057,150.032,Luminous,0.401,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.005679999999999999,ManyFew,happy,0.607,0.941,0.0,6,-6.817,1,37i9dQZF1DWSf2RDTDayIx,0.0769,124.05799999999999,Off My Mind,0.53,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0207,LeBon (UK),happy,0.809,0.9079999999999999,7.04e-05,8,-7.459,1,37i9dQZF1DWSf2RDTDayIx,0.0992,123.99799999999999,The One,0.802,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.32,Wizman,happy,0.943,0.409,0.777,0,-9.556000000000001,1,37i9dQZF1DWSf2RDTDayIx,0.15,122.01100000000001,San Pellegrino,0.18,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.000634,AXXIS,happy,0.568,0.9329999999999999,0.0385,6,-5.45,0,37i9dQZF1DWSf2RDTDayIx,0.0362,128.001,Shôko,0.6659999999999999,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.22399999999999998,Metrush,happy,0.595,0.775,8.09e-06,10,-4.4,1,37i9dQZF1DWSf2RDTDayIx,0.0511,124.023,Somebody - Stadiumx Edit,0.128,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0564,David Penn,happy,0.802,0.9470000000000001,0.81,9,-4.5089999999999995,0,37i9dQZF1DWSf2RDTDayIx,0.0598,124.00399999999999,Babarabatiri - David Penn Remix,0.565,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.025,Disciples,happy,0.802,0.78,0.457,8,-6.002999999999999,1,37i9dQZF1DWSf2RDTDayIx,0.0481,120.008,Better On My Own (feat. Anabel Englund),0.853,wonder,12.090010628072024,0.0,0.0,0.0,0.0,0.0,5.993129826427043,0.0,0.0
88,0.00561,Louis The Child,happy,0.653,0.565,3.02e-05,1,-6.636,1,37i9dQZF1DWSf2RDTDayIx,0.0354,124.98700000000001,Free (with Drew Love),0.165,wonder,23.029292966336925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0008789999999999999,Chicane,happy,0.634,0.733,0.922,9,-7.006,0,37i9dQZF1DWSf2RDTDayIx,0.0368,124.992,Halcyon - 2020 Anniversary Remix,0.0649,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.135,ARTY,happy,0.5329999999999999,0.731,3e-06,4,-3.2239999999999998,1,37i9dQZF1DWSf2RDTDayIx,0.0322,127.98,Kingdom,0.312,wonder,6.450470422144176,0.0,0.0,0.0,0.0,6.055612366931734,0.0,0.0,0.0
91,0.0299,Ezra Vine,happy,0.604,0.841,0.0038200000000000005,1,-5.145,1,37i9dQZF1DWSkMjlBZAZ07,0.0423,138.976,Celeste,0.578,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
